func_01ff8000 kind:function(arm,size=0x204) addr:0x01ff8000
func_01ffa794 kind:function(arm,size=0x94) addr:0x01ffa794
func_01ffa828 kind:function(arm,size=0x14c) addr:0x01ffa828
func_01ffa974 kind:function(arm,size=0x268) addr:0x01ffa974
func_01ffabdc kind:function(arm,size=0x1e4) addr:0x01ffabdc
func_01ffadc0 kind:function(arm,size=0x2cc) addr:0x01ffadc0
func_01ffb08c kind:function(arm,size=0x1d8) addr:0x01ffb08c
func_01ffb264 kind:function(arm,size=0x310) addr:0x01ffb264
func_01ffb574 kind:function(arm,size=0x68) addr:0x01ffb574
func_01ffb5dc kind:function(arm,size=0x13c) addr:0x01ffb5dc
func_01ffb718 kind:function(arm,size=0x114) addr:0x01ffb718
func_01ffb82c kind:function(arm,size=0x108) addr:0x01ffb82c
func_01ffb934 kind:function(arm,size=0x88) addr:0x01ffb934
func_01ffb9bc kind:function(arm,size=0x84) addr:0x01ffb9bc
func_01ffba40 kind:function(arm,size=0xac) addr:0x01ffba40
func_01ffbaec kind:function(arm,size=0xa4) addr:0x01ffbaec
func_01ffbb90 kind:function(arm,size=0x68) addr:0x01ffbb90
gProcessCmdTable kind:data(any) addr:0x01ffbbf8
func_01ffbc90 kind:function(arm,size=0x10) addr:0x01ffbc90
IsRootProcess kind:function(arm,size=0x10) addr:0x01ffbca0
RunProcessScript kind:function(arm,size=0x8c) addr:0x01ffbcb0
AllocateProcess kind:function(arm,size=0x68) addr:0x01ffbd3c
func_01ffbda4 kind:function(arm,size=0x50) addr:0x01ffbda4
InsertRootProcess kind:function(arm,size=0x28) addr:0x01ffbdf4
InsertChildProcess kind:function(arm,size=0x20) addr:0x01ffbe1c
func_01ffbe3c kind:function(arm,size=0x78) addr:0x01ffbe3c
Proc_StartExt kind:function(arm,size=0xc4) addr:0x01ffbeb4
Proc_Start kind:function(arm,size=0x18) addr:0x01ffbf78
func_01ffbf90 kind:function(arm,size=0x40) addr:0x01ffbf90
func_01ffbfd0 kind:function(arm,size=0x10) addr:0x01ffbfd0
Proc_StartBlockingExt kind:function(arm,size=0x38) addr:0x01ffbfe0
Proc_StartBlocking kind:function(arm,size=0x18) addr:0x01ffc018
func_01ffc030 kind:function(arm,size=0x38) addr:0x01ffc030
func_01ffc068 kind:function(arm,size=0x38) addr:0x01ffc068
func_01ffc0a0 kind:function(arm,size=0x48) addr:0x01ffc0a0
func_01ffc0e8 kind:function(arm,size=0x8c) addr:0x01ffc0e8
Proc_End kind:function(arm,size=0x74) addr:0x01ffc174
RunProcessRecursive kind:function(arm,size=0x10c) addr:0x01ffc1e8
func_01ffc2f4 kind:function(arm,size=0x9c) addr:0x01ffc2f4
Proc_Run kind:function(arm,size=0x20) addr:0x01ffc390
Proc_Break kind:function(arm,size=0x44) addr:0x01ffc3b0
func_01ffc3f4 kind:function(arm,size=0x10) addr:0x01ffc3f4
func_01ffc404 kind:function(arm,size=0xe0) addr:0x01ffc404
func_01ffc4e4 kind:function(arm,size=0xf0) addr:0x01ffc4e4
func_01ffc5d4 kind:function(arm,size=0x40) addr:0x01ffc5d4
func_01ffc614 kind:function(arm,size=0x54) addr:0x01ffc614
func_01ffc668 kind:function(arm,size=0x54) addr:0x01ffc668
func_01ffc6bc kind:function(arm,size=0x58) addr:0x01ffc6bc
func_01ffc714 kind:function(arm,size=0x15c) addr:0x01ffc714
func_01ffc870 kind:function(arm,size=0x34) addr:0x01ffc870
func_01ffc8a4 kind:function(arm,size=0xcc) addr:0x01ffc8a4
func_01ffc970 kind:function(arm,size=0x14) addr:0x01ffc970
func_01ffc984 kind:function(arm,size=0xa8) addr:0x01ffc984
func_01ffca2c kind:function(arm,size=0xd8) addr:0x01ffca2c
func_01ffcb04 kind:function(arm,size=0x40) addr:0x01ffcb04
func_01ffcb44 kind:function(arm,size=0x70) addr:0x01ffcb44
func_01ffcbb4 kind:function(arm,size=0x24) addr:0x01ffcbb4
func_01ffcbd8 kind:function(arm,size=0x64) addr:0x01ffcbd8
func_01ffcc3c kind:function(arm,size=0x94) addr:0x01ffcc3c
